TARGETID,TARGET_RA,TARGET_DEC,r_mag,FEH,FEH_ERR,VRAD,VRAD_ERR,stream_prob,stream_prob_em,stream_prob_ep
2305843028914349784,353.56322465416804,0.2897305374775291,17.29366,-3.3114105283046205,0.06851011864299628,-149.72629638922194,3.885121114664616,0.9970887059880935,0.9882765117927275,0.9988497651512935
2305843028889183198,353.47032138963755,-0.9700044785281662,14.732384,-3.4162328147572234,0.03233940095239677,-137.42664568942257,1.2931310260602042,0.999626220988155,0.9989471909500109,0.9998272627123751
2305843028939515440,354.34848937400807,3.105724317761955,17.961128,-3.059405788432307,0.1487347857809489,-184.51320116297325,5.872817356503938,0.0011796006028360812,2.7658281513814997e-05,0.02483682173484627
2305843030579483942,354.7701573961331,30.250984731091044,15.423884,-3.359024914508037,0.030874891478995345,-183.75380373816245,1.2971138241533442,0.9994690911246926,0.9976911869577921,0.9997650467553733
39628102187352197,350.7777049548869,12.937267393747144,18.327631,-3.023253415534172,0.09212817201881918,-191.30297451545314,3.6274345105932113,0.006042946106238493,7.153095140955478e-05,0.5177878585251963
39628125734178620,353.5295547051377,14.051241210329053,18.013107,-2.978408797035212,0.12697198680499705,-175.50324526378031,4.190645608577019,0.5992392632266099,0.06603035729989676,0.9404501526409378
39627651807185073,349.30774205656905,-5.838131834061791,18.641657,-3.053358760930596,0.13422494699081838,-139.04228129404538,6.038454501600217,0.9746095590480586,0.9481821637906458,0.9866176948771642
39627760448054832,352.993718336094,-1.34662388845367,17.238283,-3.420938509555063,0.07528500133412172,-136.72573503128064,2.786303041034439,0.9954952219828843,0.9752747233693979,0.9988619125663861
39627748368456193,352.9329734332078,-1.7231343304352484,18.386604,-3.6026192329324322,0.1418839661948151,-130.6236090324756,5.661280208485115,0.9970744724397572,0.992936815728373,0.9985835714314406
2780908667011078,353.4630423094495,-1.9264458414456147,19.246174,-2.9047182032672425,0.19565703516146712,-122.2177803266976,9.732546461918162,0.7535662511797661,0.48878331195754887,0.8859741051272148
39627784569489981,350.5715218644225,-0.22854656960209146,16.978966,-3.8081349030296687,0.04955597620508056,-156.07967671342712,1.7445785135895646,0.9990877136661195,0.9959760255268019,0.9997014232724685
2780866333900802,349.075971473117,-3.8309282647146037,19.044334,-3.037960674410284,0.17234879575466056,-138.2781538495416,7.783932849140697,0.8793442869205488,0.7524549138432369,0.9382781072784956
39627706052120476,350.18772713653505,-3.546328751737462,17.799568,-3.244900055151782,0.14061128400600453,-143.02518223590909,3.395891355770352,0.9979470906994626,0.9958933070748067,0.9988704886843079
39627766429126441,349.3514101867997,-0.8967513686073303,18.121042,-2.94118280597356,0.17225806280437442,-150.3949367983713,4.860473995120371,0.5354212930128402,0.14290105667355626,0.8452130410326868
39636465939909472,348.10081446137934,-5.120075550500713,18.646624,-3.09062178502821,0.1872924014457745,-139.9976468608707,6.814235312213372,0.9799770604092677,0.9630270137852872,0.9884611045987765
39636447866655310,347.4175047130094,-5.745597755675041,16.822897,-3.4044182570516766,0.03952779059160967,-146.03698628964673,1.5479927180162882,0.9994038864937611,0.9982670780741558,0.9997036149761186
39636459925274665,348.4688966072023,-5.172009037573183,18.599482,-3.1043659243016313,0.24619166042726828,-156.91591223616217,7.952727216997869,0.9014667372826094,0.7251296563292953,0.9582702515439522
39627706106643344,353.2814264998895,-3.4198887871780688,18.037985,-2.918844040440412,0.12940013198882383,-124.4590351861539,4.86050501536946,0.8825957059211857,0.5818277836426378,0.9614551649026134
39627700075236735,353.42493113901975,-3.6697691661735186,17.464952,-3.421322068773989,0.06917056769748327,-137.16395820534348,2.442497008237586,0.9994899972567004,0.9988913863405968,0.9997194728124379
2780981031337987,346.5320630266603,0.9160679166207845,19.096672,-2.7560593701354357,0.11805223662957023,-166.0677380884808,8.242675248063998,0.002016212084571765,0.0002078142764284752,0.014747210741696744
39627850998876463,350.1429639047302,2.5838150845034082,16.918419,-3.263452341644922,0.05316329218792383,-163.26548856890318,2.1684010303842016,0.9948113467255344,0.9677618194616388,0.9987427897486767
39628478030545065,354.8314450763645,29.799050471831645,17.488749,-3.5389533368759674,0.02403604314361896,-184.7697384761383,2.5674340625716257,0.9995275642078674,0.9986192867768107,0.9997754639591028
39628472858970186,0.4171479910315085,29.69984263719617,18.543861,-2.7455614462322453,0.138993269074146,-149.59190780993168,7.340452065259089,0.1343515714917028,0.006083088777352178,0.7243012601113116
39628430295172938,354.73863713722926,27.47703092171745,18.17714,-3.5361857267216976,0.03914672947011428,-194.51673282083317,4.608438153282061,0.9988904050819409,0.9971882552051229,0.9995182264694922
39628456937392106,354.7257603261615,28.654641692630722,17.504196,-3.0582340147893388,0.07276959583919626,-206.10116361770375,2.0511795685814276,0.9533418734003258,0.43305647072434067,0.990786848665887
